cell,replicate,block_id,env,onset,disturbed,leakfree,eligible,u_post,o_post,u_pre,o_pre,u_falltick,o_falltick
stand_motor,process_01,6,14,135,True,False,True,False,False,False,False,-1,-1
stand_motor,process_01,6,15,135,True,False,True,False,False,False,False,-1,-1
stand_motor,process_01,7,0,116,True,True,True,False,False,False,False,-1,-1
stand_motor,process_01,7,1,116,True,True,True,True,True,False,False,196,142
stand_motor,process_01,7,2,116,True,True,True,True,True,False,False,143,142
stand_motor,process_01,7,3,116,True,True,True,False,False,False,False,-1,-1
stand_motor,process_01,7,4,116,True,True,True,False,False,False,False,-1,-1
stand_motor,process_01,7,5,116,True,True,True,False,False,False,False,-1,-1
stand_motor,process_01,7,6,116,True,True,True,False,False,False,False,-1,-1
stand_motor,process_01,7,7,116,True,True,True,False,False,False,False,-1,-1
stand_motor,process_01,7,8,116,True,True,True,False,False,False,False,-1,-1
stand_motor,process_01,7,9,116,True,True,True,False,False,False,False,-1,-1
stand_motor,process_01,7,10,116,True,True,True,False,False,False,False,-1,-1
stand_motor,process_01,7,11,116,True,True,True,False,False,False,False,-1,-1
stand_motor,process_01,7,12,116,True,True,True,False,True,False,False,-1,147
stand_motor,process_01,7,13,116,True,True,True,False,False,False,False,-1,-1
stand_motor,process_01,7,14,116,True,True,True,False,True,False,False,-1,163
stand_motor,process_01,7,15,116,True,True,True,True,True,False,False,187,144
stand_motor,process_01,8,0,136,True,False,True,False,True,False,False,-1,164
stand_motor,process_01,8,1,136,True,False,True,False,False,False,False,-1,-1
stand_motor,process_01,8,2,136,True,False,True,False,False,False,False,-1,-1
stand_motor,process_01,8,3,136,True,False,True,False,False,False,False,-1,-1
stand_motor,process_01,8,4,136,True,False,True,False,False,False,False,-1,-1
stand_motor,process_01,8,5,136,True,False,True,False,True,False,False,-1,194
stand_motor,process_01,8,6,136,True,False,True,False,False,False,False,-1,-1
stand_motor,process_01,8,7,136,True,False,True,False,False,False,False,-1,-1
stand_motor,process_01,8,8,136,True,False,True,False,True,False,False,-1,166
stand_motor,process_01,8,9,136,True,False,True,False,False,False,False,-1,-1
stand_motor,process_01,8,10,136,True,False,True,False,False,False,False,-1,-1
stand_motor,process_01,8,11,136,True,False,True,False,False,False,False,-1,-1
stand_motor,process_01,8,12,136,True,False,True,False,False,False,False,-1,-1
stand_motor,process_01,8,13,136,True,False,True,False,True,False,False,-1,168
stand_motor,process_01,8,14,136,True,False,True,False,False,False,False,-1,-1
stand_motor,process_01,8,15,136,True,False,True,True,True,False,False,177,156
