cell,replicate,policy,family,block_id,block_index,onset,disturbed,seed,obs_noise,motor_scale,command_speed,divergent,leakfree,onset_obs_maxdiff,n_eligible,u_post_rate,o_post_rate,effect,u_pre_rate,o_pre_rate,pre_effect,u_fell,o_fell,u_falltick_med,u_task,o_task,pre_fall_env_diff
stand_motor,process_01,stand,motor,46,46,187,False,248233584,,,,True,False,2.882888078689575,0,,,,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,1.0,0
stand_motor,process_01,stand,motor,47,47,138,False,1680240284,,,,True,False,5.645079135894775,0,,,,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,1.0,0
stand_obs,process_01,stand,obs,0,0,191,True,1034330051,2.9881673657236583,,,True,False,2.5504631996154785,16,0.0625,0.0,0.0625,0.0,0.0,0.0,0.0625,0.0,-1.0,0.9375,1.0,0
stand_obs,process_01,stand,obs,1,1,183,True,303133010,2.624532842726466,,,False,True,0.0,15,0.06666666666666667,0.0,0.06666666666666667,0.0625,0.0625,0.0,0.125,0.0625,-1.0,0.875,0.9375,0
stand_obs,process_01,stand,obs,2,2,197,True,1529713879,2.8172117169322286,,,True,False,2.685756206512451,16,0.0625,0.0,0.0625,0.0,0.0,0.0,0.0625,0.0,-1.0,0.9375,1.0,0
stand_obs,process_01,stand,obs,3,3,128,True,1023435646,1.1661028360701238,,,False,True,0.0,16,0.0625,0.0,0.0625,0.0,0.0,0.0,0.0625,0.0,-1.0,0.9375,1.0,0
stand_obs,process_01,stand,obs,4,4,170,True,793431984,1.201091786672083,,,False,True,0.0,16,0.1875,0.0,0.1875,0.0,0.0,0.0,0.1875,0.0,-1.0,0.8125,1.0,0
stand_obs,process_01,stand,obs,5,5,185,True,489350418,1.0034957059694167,,,False,True,0.0,16,0.1875,0.0,0.1875,0.0,0.0,0.0,0.1875,0.0,-1.0,0.8125,1.0,0
stand_obs,process_01,stand,obs,6,6,146,True,877058511,2.8580840733434676,,,False,True,0.0,16,0.1875,0.0,0.1875,0.0,0.0,0.0,0.1875,0.0,-1.0,0.8125,1.0,0
stand_obs,process_01,stand,obs,7,7,112,True,2000224707,2.7322181389932547,,,False,True,0.0,16,0.0625,0.0,0.0625,0.0,0.0,0.0,0.0625,0.0,-1.0,0.9375,1.0,0
stand_obs,process_01,stand,obs,8,8,119,True,2051598674,1.7953254969738492,,,False,True,0.0,16,0.1875,0.0,0.1875,0.0,0.0,0.0,0.1875,0.0,-1.0,0.8125,1.0,0
stand_obs,process_01,stand,obs,9,9,147,True,1838969144,2.3834332274081493,,,False,True,0.0,15,0.2,0.0,0.2,0.0625,0.0625,0.0,0.25,0.0625,-1.0,0.75,0.9375,0
stand_obs,process_01,stand,obs,10,10,108,True,447414624,1.5315779812052668,,,False,True,0.0,16,0.125,0.0,0.125,0.0,0.0,0.0,0.125,0.0,-1.0,0.875,1.0,0
stand_obs,process_01,stand,obs,11,11,107,True,632161177,1.346242971244371,,,False,True,0.0,16,0.0625,0.0,0.0625,0.0,0.0,0.0,0.0625,0.0,-1.0,0.9375,1.0,0
stand_obs,process_01,stand,obs,12,12,151,True,1446958259,2.7101714415291367,,,False,True,0.0,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,1.0,0
stand_obs,process_01,stand,obs,13,13,178,True,1108721907,1.9827337531834954,,,False,True,0.0,16,0.0625,0.0,0.0625,0.0,0.0,0.0,0.0625,0.0,-1.0,0.9375,1.0,0
stand_obs,process_01,stand,obs,14,14,181,True,956050131,2.7139339532550393,,,False,True,0.0,16,0.125,0.0,0.125,0.0,0.0,0.0,0.125,0.0,-1.0,0.875,1.0,0
stand_obs,process_01,stand,obs,15,15,175,True,1828720676,1.4826000019868937,,,False,True,0.0,16,0.25,0.0,0.25,0.0,0.0,0.0,0.25,0.0,-1.0,0.75,1.0,0
stand_obs,process_01,stand,obs,16,16,136,True,954078912,1.510192824197243,,,False,True,0.0,16,0.3125,0.0,0.3125,0.0,0.0,0.0,0.3125,0.0,-1.0,0.6875,1.0,0
stand_obs,process_01,stand,obs,17,17,115,True,295034781,2.5274792103506147,,,False,True,0.0,16,0.0625,0.0,0.0625,0.0,0.0,0.0,0.0625,0.0,-1.0,0.9375,1.0,0
stand_obs,process_01,stand,obs,18,18,130,True,833408301,1.3835998644658456,,,False,True,0.0,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,1.0,0
stand_obs,process_01,stand,obs,19,19,129,True,1850020176,2.766886140790634,,,False,True,0.0,16,0.1875,0.0,0.1875,0.0,0.0,0.0,0.1875,0.0,-1.0,0.8125,1.0,0
stand_obs,process_01,stand,obs,20,20,184,True,1663380691,2.4984118011958674,,,False,True,0.0,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,1.0,0
stand_obs,process_01,stand,obs,21,21,134,True,1311942777,2.4557261470563563,,,False,True,0.0,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,1.0,0
stand_obs,process_01,stand,obs,22,22,141,True,2080064732,2.996428702159629,,,False,True,0.0,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,1.0,0
stand_obs,process_01,stand,obs,23,23,175,True,1864601693,2.79502697754773,,,False,True,0.0,16,0.0625,0.0,0.0625,0.0,0.0,0.0,0.0625,0.0,-1.0,0.9375,1.0,0
stand_obs,process_01,stand,obs,24,24,129,True,1013973323,1.337986918638187,,,False,True,0.0,16,0.0625,0.0,0.0625,0.0,0.0,0.0,0.0625,0.0,-1.0,0.9375,1.0,0
stand_obs,process_01,stand,obs,25,25,164,True,1361072736,2.179285758659389,,,False,True,0.0,16,0.0625,0.0,0.0625,0.0,0.0,0.0,0.0625,0.0,-1.0,0.9375,1.0,0
stand_obs,process_01,stand,obs,26,26,144,True,481568148,2.6467320076080183,,,False,True,0.0,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,1.0,0
stand_obs,process_01,stand,obs,27,27,146,True,547766364,2.866916291222571,,,False,True,0.0,15,0.0,0.0,0.0,0.0625,0.0625,0.0,0.0625,0.0625,-1.0,0.9375,0.9375,0
stand_obs,process_01,stand,obs,28,28,159,True,705015154,2.095931241808747,,,False,True,0.0,16,0.0625,0.0,0.0625,0.0,0.0,0.0,0.0625,0.0,-1.0,0.9375,1.0,0
stand_obs,process_01,stand,obs,29,29,178,True,192344601,1.0571610278726444,,,False,True,0.0,16,0.0625,0.0,0.0625,0.0,0.0,0.0,0.0625,0.0,-1.0,0.9375,1.0,0
stand_obs,process_01,stand,obs,30,30,120,True,361972826,1.2705399461141842,,,False,True,0.0,16,0.0625,0.0,0.0625,0.0,0.0,0.0,0.0625,0.0,-1.0,0.9375,1.0,0
stand_obs,process_01,stand,obs,31,31,163,True,81466273,1.5062654424985245,,,False,True,0.0,16,0.0625,0.0,0.0625,0.0,0.0,0.0,0.0625,0.0,-1.0,0.9375,1.0,0
stand_obs,process_01,stand,obs,32,32,162,False,581043824,,,,False,True,0.0,0,,,,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,1.0,0
stand_obs,process_01,stand,obs,33,33,189,False,501145141,,,,True,False,2.871574640274048,0,,,,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,1.0,0
stand_obs,process_01,stand,obs,34,34,159,False,1092717142,,,,False,True,0.0,0,,,,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,1.0,0
stand_obs,process_01,stand,obs,35,35,141,False,29725830,,,,False,True,0.0,0,,,,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,1.0,0
stand_obs,process_01,stand,obs,36,36,136,False,1384294919,,,,False,True,0.0,0,,,,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,1.0,0
stand_obs,process_01,stand,obs,37,37,186,False,272953130,,,,False,True,0.0,0,,,,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,1.0,0
stand_obs,process_01,stand,obs,38,38,184,False,1240291230,,,,False,True,0.0,0,,,,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,1.0,0
stand_obs,process_01,stand,obs,39,39,110,False,658118642,,,,False,True,0.0,0,,,,0.0,0.0,0.0,0.0625,0.0625,-1.0,0.9375,0.9375,0
stand_obs,process_01,stand,obs,40,40,142,False,2026940394,,,,False,True,0.0,0,,,,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,1.0,0
stand_obs,process_01,stand,obs,41,41,100,False,919336414,,,,False,True,0.0,0,,,,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,1.0,0
stand_obs,process_01,stand,obs,42,42,170,False,880045017,,,,False,True,0.0,0,,,,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,1.0,0
stand_obs,process_01,stand,obs,43,43,180,False,96431021,,,,False,True,0.0,0,,,,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,1.0,0
stand_obs,process_01,stand,obs,44,44,176,False,1782781242,,,,False,True,0.0,0,,,,0.0625,0.0625,0.0,0.0625,0.0625,-1.0,0.9375,0.9375,0
stand_obs,process_01,stand,obs,45,45,178,False,234663032,,,,False,True,0.0,0,,,,0.0,0.0,0.0,0.0625,0.0625,-1.0,0.9375,0.9375,0
stand_obs,process_01,stand,obs,46,46,176,False,1463107534,,,,False,True,0.0,0,,,,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,1.0,0
stand_obs,process_01,stand,obs,47,47,188,False,1087284459,,,,True,False,2.706352710723877,0,,,,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,1.0,0
walk_motor,process_01,walk,motor,0,0,110,True,964360434,,0.31615230773903485,,False,True,0.0,16,0.75,0.9375,-0.1875,0.0,0.0,0.0,0.75,0.9375,121.0,0.25,0.0625,0
walk_motor,process_01,walk,motor,1,1,186,True,372359440,,0.4183201239164406,,True,False,3.3603997230529785,14,0.7142857142857143,0.8571428571428571,-0.1428571428571428,0.125,0.125,0.0,0.75,0.875,205.0,0.25,0.125,0
walk_motor,process_01,walk,motor,2,2,146,True,1518251812,,0.45443100616045395,,True,False,12.259248733520508,16,0.625,0.5625,0.0625,0.0,0.0,0.0,0.625,0.5625,166.5,0.375,0.4375,0
walk_motor,process_01,walk,motor,3,3,106,True,1497453948,,0.5033346552057818,,False,True,0.0,16,0.375,0.375,0.0,0.0,0.0,0.0,0.375,0.375,-1.0,0.625,0.625,0
walk_motor,process_01,walk,motor,4,4,125,True,349485216,,0.511467882847427,,True,False,6.091994285583496,15,0.13333333333333333,0.13333333333333333,0.0,0.0625,0.0625,0.0,0.1875,0.1875,-1.0,0.8125,0.8125,0
walk_motor,process_01,walk,motor,5,5,166,True,1713796329,,0.3914977287933531,,True,False,2.8328967094421387,15,0.6,0.7333333333333333,-0.1333333333333333,0.0625,0.0625,0.0,0.625,0.75,181.5,0.375,0.25,0
walk_motor,process_01,walk,motor,6,6,107,True,453126074,,0.5163850095809068,,False,True,0.0,16,0.4375,0.375,0.0625,0.0,0.0,0.0,0.4375,0.375,-1.0,0.5625,0.625,0
walk_motor,process_01,walk,motor,7,7,153,True,1283880919,,0.4520135233767324,,True,False,4.545074462890625,15,0.3333333333333333,0.4666666666666667,-0.13333333333333336,0.0625,0.0625,0.0,0.375,0.5,-1.0,0.625,0.5,0
walk_motor,process_01,walk,motor,8,8,101,True,2023329046,,0.5249930233371858,,False,True,0.0,16,0.25,0.3125,-0.0625,0.0,0.0,0.0,0.25,0.3125,-1.0,0.75,0.6875,0
